Vteam,Hteam,win,lose,probability
Portland Trail Blazers,Denver Nuggets,,,
Toronto Raptors,Philadelphia 76ers,,,
Milwaukee Bucks,Boston Celtics,,,
Denver Nuggets,Portland Trail Blazers,,,
Golden State Warriors,Houston Rockets,,,
Toronto Raptors,Philadelphia 76ers,,,
Denver Nuggets,Portland Trail Blazers,,,
Milwaukee Bucks,Boston Celtics,,,
Golden State Warriors,Houston Rockets,,,
Portland Trail Blazers,Denver Nuggets,,,
Philadelphia 76ers,Toronto Raptors,,,
Houston Rockets,Golden State Warriors,,,
Boston Celtics,Milwaukee Bucks,,,
Toronto Raptors,Philadelphia 76ers,,,
Denver Nuggets,Portland Trail Blazers,,,
Golden State Warriors,Houston Rockets,,,
Portland Trail Blazers,Denver Nuggets,,,
Philadelphia 76ers,Toronto Raptors,,,
Portland Trail Blazers,Golden State Warriors,,,
Toronto Raptors,Milwaukee Bucks,,,
Portland Trail Blazers,Golden State Warriors,,,
Toronto Raptors,Milwaukee Bucks,,,
Golden State Warriors,Portland Trail Blazers,,,
Milwaukee Bucks,Toronto Raptors,,,
Golden State Warriors,Portland Trail Blazers,,,
Milwaukee Bucks,Toronto Raptors,,,
Toronto Raptors,Milwaukee Bucks,,,
Milwaukee Bucks,Toronto Raptors,,,
Golden State Warriors,Toronto Raptors,,,
